,Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year
0,3,3,1.00,53.7,0,8,2016
1,3,3,1.00,53.7,0,9,2016
2,3,3,1.00,53.7,0,10,2016
3,3,3,1.00,53.7,0,11,2016
4,3,3,1.00,33.4,0,12,2016
5,3,3,1.00,37.3,0,13,2016
6,3,3,1.00,36.5,0,14,2016
7,3,3,1.00,34.1,0,15,2016
8,3,3,1.00,35.4,0,16,2016
9,3,3,1.00,44.0,0,17,2016
10,3,3,1.00,43.7,0,19,2016
11,3,3,1.00,41.3,0,20,2016
12,3,3,1.00,38.5,0,21,2016
13,3,3,1.00,41.2,0,22,2016
14,3,3,1.00,39.3,0,23,2016
15,4,3,1.00,32.4,0,0,2016
16,4,3,1.00,31.3,0,1,2016
17,4,3,1.00,23.9,0,2,2016
18,4,3,1.00,27.4,0,3,2016
19,4,3,1.00,34.0,0,4,2016
20,4,3,1.00,41.2,0,5,2016
21,4,3,1.00,36.6,0,6,2016
22,4,3,1.00,36.7,0,7,2016
23,4,3,1.00,38.5,0,8,2016
24,4,3,1.00,39.9,0,9,2016
25,4,3,1.00,42.9,0,10,2016
26,4,3,1.00,40.2,0,11,2016
27,4,3,1.00,41.0,0,12,2016
28,4,3,1.00,43.1,0,13,2016
29,4,3,1.00,39.5,0,14,2016
30,4,3,1.00,34.5,0,15,2016
31,4,3,1.00,30.9,0,16,2016
32,4,3,1.00,41.5,0,17,2016
33,4,3,1.00,45.0,0,18,2016
34,4,3,1.00,44.9,0,19,2016
35,4,3,1.00,44.9,0,20,2016
36,4,3,1.00,44.9,0,21,2016
37,4,3,1.00,44.9,0,22,2016
38,4,3,1.00,44.9,0,23,2016
39,5,3,1.00,44.9,0,0,2016
40,5,3,1.00,44.9,0,1,2016
41,5,3,1.00,44.9,0,2,2016
42,5,3,1.00,44.9,0,3,2016
43,5,3,1.00,44.9,0,4,2016
44,5,3,1.00,44.9,0,5,2016
45,5,3,1.00,44.9,0,6,2016
46,5,3,1.00,45.0,0,7,2016
47,5,3,1.00,44.9,0,8,2016
48,5,3,1.00,44.9,0,9,2016
49,5,3,1.00,44.9,0,10,2016
50,5,3,1.00,44.9,0,11,2016
51,5,3,1.00,44.9,0,12,2016
52,5,3,1.00,44.9,0,13,2016
53,5,3,1.00,44.9,0,14,2016
54,5,3,1.00,44.9,0,15,2016
55,5,3,1.00,44.9,0,16,2016
56,5,3,1.00,38.8,0,17,2016
57,5,3,1.00,47.2,0,18,2016
58,5,3,1.00,56.3,0,19,2016
59,5,3,1.00,51.3,0,20,2016
60,5,3,1.00,46.7,0,21,2016
61,5,3,1.00,50.1,0,22,2016
62,5,3,1.00,45.4,0,23,2016
63,6,3,1.00,44.8,0,0,2016
64,6,3,1.00,42.0,0,1,2016
65,6,3,1.00,46.8,0,2,2016
66,6,3,1.00,44.9,0,3,2016
67,6,3,1.00,51.8,0,4,2016
68,6,3,1.00,62.4,0,5,2016
69,6,3,1.00,64.3,0,6,2016
70,6,3,1.00,68.3,0,7,2016
71,6,3,1.00,75.5,0,8,2016
72,6,3,1.00,66.8,0,9,2016
73,6,3,1.00,47.1,0,10,2016
74,6,3,1.00,48.0,0,11,2016
75,6,3,1.00,51.9,0,12,2016
76,6,3,1.00,47.0,0,13,2016
77,6,3,1.00,59.0,0,14,2016
78,6,3,1.00,51.4,0,15,2016
79,6,3,1.00,53.6,0,16,2016
80,6,3,1.00,53.4,0,17,2016
81,6,3,1.00,64.6,0,18,2016
82,6,3,1.00,59.9,0,19,2016
83,6,3,1.00,68.7,0,20,2016
84,6,3,1.00,61.8,0,21,2016
85,6,3,1.00,58.8,0,22,2016
86,6,3,1.00,39.6,0,23,2016
87,7,3,1.00,50.2,0,0,2016
88,7,3,1.00,45.3,0,1,2016
89,7,3,1.00,42.1,0,2,2016
90,7,3,1.00,41.1,0,3,2016
91,7,3,1.00,46.4,0,4,2016
92,7,3,1.00,50.7,0,5,2016
93,7,3,1.00,49.3,0,6,2016
94,7,3,1.00,44.1,0,7,2016
95,7,3,1.00,48.4,0,8,2016
96,7,3,1.00,43.8,0,9,2016
97,7,3,1.00,34.6,0,10,2016
98,7,3,1.00,47.5,0,11,2016
99,7,3,1.00,40.4,0,12,2016
100,7,3,1.00,38.8,0,13,2016
101,7,3,1.00,35.9,0,14,2016
102,7,3,1.00,37.2,0,15,2016
103,7,3,1.00,38.9,0,16,2016
104,7,3,1.00,36.7,0,17,2016
105,7,3,1.00,50.3,0,18,2016
106,7,3,1.00,50.2,0,19,2016
107,7,3,1.00,53.3,0,20,2016
108,7,3,1.00,49.0,0,21,2016
109,7,3,1.00,37.5,0,22,2016
110,7,3,1.00,39.2,0,23,2016
111,8,3,1.00,30.4,0,0,2016
112,8,3,1.00,13.7,0,1,2016
113,8,3,1.00,28.5,0,2,2016
114,8,3,1.00,33.3,0,3,2016
115,8,3,1.00,31.8,0,4,2016
116,8,3,1.00,40.5,0,5,2016
117,8,3,1.00,50.7,0,6,2016
