Date,Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year,latitude,longitude
2016-03-03,3,3,1.00,53.7,0,8,2016,18.7904,98.9847
2016-03-03,3,3,1.00,53.7,0,9,2016,18.7904,98.9847
2016-03-03,3,3,1.00,53.7,0,10,2016,18.7904,98.9847
2016-03-03,3,3,1.00,53.7,0,11,2016,18.7904,98.9847
2016-03-03,3,3,1.00,33.4,0,12,2016,18.7904,98.9847
2016-03-03,3,3,1.00,37.3,0,13,2016,18.7904,98.9847
2016-03-03,3,3,1.00,36.5,0,14,2016,18.7904,98.9847
2016-03-03,3,3,1.00,34.1,0,15,2016,18.7904,98.9847
2016-03-03,3,3,1.00,35.4,0,16,2016,18.7904,98.9847
2016-03-03,3,3,1.00,44.0,0,17,2016,18.7904,98.9847
2016-03-03,3,3,1.00,43.7,0,19,2016,18.7904,98.9847
2016-03-03,3,3,1.00,41.3,0,20,2016,18.7904,98.9847
2016-03-03,3,3,1.00,38.5,0,21,2016,18.7904,98.9847
2016-03-03,3,3,1.00,41.2,0,22,2016,18.7904,98.9847
2016-03-03,3,3,1.00,39.3,0,23,2016,18.7904,98.9847
2016-03-04,4,3,1.00,32.4,0,0,2016,18.7904,98.9847
2016-03-04,4,3,1.00,31.3,0,1,2016,18.7904,98.9847
2016-03-04,4,3,1.00,23.9,0,2,2016,18.7904,98.9847
2016-03-04,4,3,1.00,27.4,0,3,2016,18.7904,98.9847
2016-03-04,4,3,1.00,34.0,0,4,2016,18.7904,98.9847
2016-03-04,4,3,1.00,41.2,0,5,2016,18.7904,98.9847
2016-03-04,4,3,1.00,36.6,0,6,2016,18.7904,98.9847
2016-03-04,4,3,1.00,36.7,0,7,2016,18.7904,98.9847
2016-03-04,4,3,1.00,38.5,0,8,2016,18.7904,98.9847
2016-03-04,4,3,1.00,39.9,0,9,2016,18.7904,98.9847
2016-03-04,4,3,1.00,42.9,0,10,2016,18.7904,98.9847
2016-03-04,4,3,1.00,40.2,0,11,2016,18.7904,98.9847
2016-03-04,4,3,1.00,41.0,0,12,2016,18.7904,98.9847
2016-03-04,4,3,1.00,43.1,0,13,2016,18.7904,98.9847
2016-03-04,4,3,1.00,39.5,0,14,2016,18.7904,98.9847
2016-03-04,4,3,1.00,34.5,0,15,2016,18.7904,98.9847
2016-03-04,4,3,1.00,30.9,0,16,2016,18.7904,98.9847
2016-03-04,4,3,1.00,41.5,0,17,2016,18.7904,98.9847
2016-03-04,4,3,1.00,45.0,0,18,2016,18.7904,98.9847
2016-03-04,4,3,1.00,44.9,0,19,2016,18.7904,98.9847
2016-03-04,4,3,1.00,44.9,0,20,2016,18.7904,98.9847
2016-03-04,4,3,1.00,44.9,0,21,2016,18.7904,98.9847
2016-03-04,4,3,1.00,44.9,0,22,2016,18.7904,98.9847
2016-03-04,4,3,1.00,44.9,0,23,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,0,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,1,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,2,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,3,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,4,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,5,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,6,2016,18.7904,98.9847
2016-03-05,5,3,1.00,45.0,0,7,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,8,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,9,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,10,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,11,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,12,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,13,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,14,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,15,2016,18.7904,98.9847
2016-03-05,5,3,1.00,44.9,0,16,2016,18.7904,98.9847
2016-03-05,5,3,1.00,38.8,0,17,2016,18.7904,98.9847
2016-03-05,5,3,1.00,47.2,0,18,2016,18.7904,98.9847
2016-03-05,5,3,1.00,56.3,0,19,2016,18.7904,98.9847
2016-03-05,5,3,1.00,51.3,0,20,2016,18.7904,98.9847
2016-03-05,5,3,1.00,46.7,0,21,2016,18.7904,98.9847
2016-03-05,5,3,1.00,50.1,0,22,2016,18.7904,98.9847
2016-03-05,5,3,1.00,45.4,0,23,2016,18.7904,98.9847
2016-03-06,6,3,1.00,44.8,0,0,2016,18.7904,98.9847
2016-03-06,6,3,1.00,42.0,0,1,2016,18.7904,98.9847
2016-03-06,6,3,1.00,46.8,0,2,2016,18.7904,98.9847
2016-03-06,6,3,1.00,44.9,0,3,2016,18.7904,98.9847
2016-03-06,6,3,1.00,51.8,0,4,2016,18.7904,98.9847
2016-03-06,6,3,1.00,62.4,0,5,2016,18.7904,98.9847
2016-03-06,6,3,1.00,64.3,0,6,2016,18.7904,98.9847
2016-03-06,6,3,1.00,68.3,0,7,2016,18.7904,98.9847
2016-03-06,6,3,1.00,75.5,0,8,2016,18.7904,98.9847
2016-03-06,6,3,1.00,66.8,0,9,2016,18.7904,98.9847
2016-03-06,6,3,1.00,47.1,0,10,2016,18.7904,98.9847
2016-03-06,6,3,1.00,48.0,0,11,2016,18.7904,98.9847
2016-03-06,6,3,1.00,51.9,0,12,2016,18.7904,98.9847
2016-03-06,6,3,1.00,47.0,0,13,2016,18.7904,98.9847
2016-03-06,6,3,1.00,59.0,0,14,2016,18.7904,98.9847
2016-03-06,6,3,1.00,51.4,0,15,2016,18.7904,98.9847
2016-03-06,6,3,1.00,53.6,0,16,2016,18.7904,98.9847
2016-03-06,6,3,1.00,53.4,0,17,2016,18.7904,98.9847
2016-03-06,6,3,1.00,64.6,0,18,2016,18.7904,98.9847
2016-03-06,6,3,1.00,59.9,0,19,2016,18.7904,98.9847
2016-03-06,6,3,1.00,68.7,0,20,2016,18.7904,98.9847
2016-03-06,6,3,1.00,61.8,0,21,2016,18.7904,98.9847
2016-03-06,6,3,1.00,58.8,0,22,2016,18.7904,98.9847
2016-03-06,6,3,1.00,39.6,0,23,2016,18.7904,98.9847
2016-03-07,7,3,1.00,50.2,0,0,2016,18.7904,98.9847
2016-03-07,7,3,1.00,45.3,0,1,2016,18.7904,98.9847
2016-03-07,7,3,1.00,42.1,0,2,2016,18.7904,98.9847
2016-03-07,7,3,1.00,41.1,0,3,2016,18.7904,98.9847
2016-03-07,7,3,1.00,46.4,0,4,2016,18.7904,98.9847
2016-03-07,7,3,1.00,50.7,0,5,2016,18.7904,98.9847
2016-03-07,7,3,1.00,49.3,0,6,2016,18.7904,98.9847
2016-03-07,7,3,1.00,44.1,0,7,2016,18.7904,98.9847
2016-03-07,7,3,1.00,48.4,0,8,2016,18.7904,98.9847
2016-03-07,7,3,1.00,43.8,0,9,2016,18.7904,98.9847
2016-03-07,7,3,1.00,34.6,0,10,2016,18.7904,98.9847
2016-03-07,7,3,1.00,47.5,0,11,2016,18.7904,98.9847
2016-03-07,7,3,1.00,40.4,0,12,2016,18.7904,98.9847
2016-03-07,7,3,1.00,38.8,0,13,2016,18.7904,98.9847
2016-03-07,7,3,1.00,35.9,0,14,2016,18.7904,98.9847
