Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year
3,3,1.00,52.7,0,8,2016
3,3,1.00,52.5,0,9,2016
3,3,1.00,52.5,0,10,2016
3,3,1.00,52.3,0,11,2016
3,3,1.00,40.6,0,12,2016
3,3,1.00,42.4,0,13,2016
3,3,1.00,42.0,0,14,2016
3,3,1.00,42.3,0,15,2016
3,3,1.00,41.9,0,16,2016
3,3,1.00,31.9,0,17,2016
3,3,1.00,44.5,0,19,2016
3,3,1.00,47.9,0,20,2016
3,3,1.00,48.6,0,21,2016
3,3,1.00,54.7,0,22,2016
3,3,1.00,50.8,0,23,2016
4,3,1.00,45.8,0,0,2016
4,3,1.00,38.7,0,1,2016
4,3,1.00,41.0,0,2,2016
4,3,1.00,41.4,0,3,2016
4,3,1.00,42.6,0,4,2016
4,3,1.00,38.6,0,5,2016
4,3,1.00,41.2,0,6,2016
4,3,1.00,39.3,0,7,2016
4,3,1.00,34.0,0,8,2016
4,3,1.00,38.6,0,9,2016
4,3,1.00,38.2,0,10,2016
4,3,1.00,35.1,0,11,2016
4,3,1.00,34.1,0,12,2016
4,3,1.00,33.2,0,13,2016
4,3,1.00,38.4,0,14,2016
4,3,1.00,34.7,0,15,2016
4,3,1.00,33.8,0,16,2016
4,3,1.00,28.8,0,17,2016
4,3,1.00,35.6,0,18,2016
4,3,1.00,38.6,0,19,2016
4,3,1.00,38.8,0,20,2016
4,3,1.00,38.8,0,21,2016
4,3,1.00,38.6,0,22,2016
4,3,1.00,38.5,0,23,2016
5,3,1.00,38.3,0,0,2016
5,3,1.00,38.2,0,1,2016
5,3,1.00,38.1,0,2,2016
5,3,1.00,38.2,0,3,2016
5,3,1.00,38.3,0,4,2016
5,3,1.00,38.5,0,5,2016
5,3,1.00,39.0,0,6,2016
5,3,1.00,39.3,0,7,2016
5,3,1.00,39.0,0,8,2016
5,3,1.00,38.7,0,9,2016
5,3,1.00,38.7,0,10,2016
5,3,1.00,38.8,0,11,2016
5,3,1.00,38.7,0,12,2016
5,3,1.00,38.6,0,13,2016
5,3,1.00,38.6,0,14,2016
5,3,1.00,38.4,0,15,2016
5,3,1.00,38.3,0,16,2016
5,3,1.00,44.9,0,17,2016
5,3,1.00,36.9,0,18,2016
5,3,1.00,33.4,0,19,2016
5,3,1.00,48.4,0,20,2016
5,3,1.00,48.7,0,21,2016
5,3,1.00,44.9,0,22,2016
5,3,1.00,47.2,0,23,2016
6,3,1.00,46.1,0,0,2016
6,3,1.00,46.2,0,1,2016
6,3,1.00,42.9,0,2,2016
6,3,1.00,44.1,0,3,2016
6,3,1.00,49.7,0,4,2016
